SOURCE_URL: Compiled by Carta Clara from public USCIS and EOIR glossaries (uscis.gov/tools/glossary, justice.gov/eoir)
SOURCE: Carta Clara bilingual plain-Spanish immigration glossary
RETRIEVED: 2026-05-16 (curated for Carta Clara Knowledge Base; see sourcing note in docs/worklog/sage.md)
TOPIC: immigration_terms_glossary_bilingual

PURPOSE: Plain-Spanish definitions of common immigration terms, so Carta Clara can
explain WHAT a word means without giving legal advice. These are definitions only.
They never say what a user should do or whether a user qualifies for anything.

FORMAT (one term per line, pipe-separated):
term (en) | término (es) | plain-Spanish definition

===

Notice to Appear (NTA) | Aviso de Comparecencia | Es el documento con el que el gobierno empieza un caso en la corte de inmigración. Dice de qué te acusan y te ordena presentarte ante un juez. No es una decisión final.
Removal proceedings | Proceso de remoción (deportación) | Es el proceso en la corte de inmigración donde un juez decide si una persona que no es ciudadana puede quedarse en Estados Unidos o debe salir. Empezar este proceso no es una decisión final.
Respondent | Demandado / persona en el caso | Es la persona sobre quien trata el caso en la corte de inmigración; la persona que recibió el Aviso de Comparecencia.
Immigration judge | Juez de inmigración | Es el juez que escucha los casos en la corte de inmigración y toma decisiones. Trabaja para el Departamento de Justicia, no es un juez penal.
Immigration court | Corte de inmigración | Es el tribunal donde se ven los casos de remoción. No es una corte penal (no es por delitos).
EOIR | EOIR (Oficina Ejecutiva de Revisión de Inmigración) | Es la oficina del Departamento de Justicia que maneja las cortes de inmigración y los jueces de inmigración.
DHS | DHS (Departamento de Seguridad Nacional) | Es el departamento del gobierno encargado de la inmigración y la seguridad. ICE, USCIS y CBP forman parte de DHS.
ICE | ICE (Servicio de Inmigración y Control de Aduanas) | Es la agencia dentro de DHS encargada de hacer cumplir las leyes de inmigración dentro del país, incluyendo la detención y la remoción.
USCIS | USCIS (Servicio de Ciudadanía e Inmigración) | Es la agencia que procesa solicitudes de inmigración, como permisos, residencia y ciudadanía.
CBP | CBP (Aduanas y Protección Fronteriza) | Es la agencia encargada de las fronteras y de las entradas a Estados Unidos.
A-number (Alien Registration Number) | Número A (número de registro de extranjero) | Es un número de identificación que el gobierno asigna a una persona en su caso de inmigración. Empieza con la letra A. Es información personal: protégelo.
Master calendar hearing | Audiencia preliminar (de calendario) | Es la primera audiencia, corta, donde el juez organiza el caso: confirma datos, te informa de tus derechos y pregunta si tienes abogado.
Individual hearing | Audiencia individual (de fondo) | Es una audiencia más larga donde se presentan pruebas y testigos y el juez toma una decisión sobre el caso.
Removability | Removibilidad | Es la idea de que, según el gobierno, una persona podría tener que salir del país por cierta razón legal. Que el gobierno lo alegue no significa que sea una decisión final.
Charge of removability | Cargo de removibilidad | Es la razón legal específica, citando una sección de la ley, por la que el gobierno dice que una persona podría ser removida.
Allegation | Alegato / acusación | Es algo que el gobierno afirma en el documento, por ejemplo una fecha o un hecho. Es lo que el gobierno dice; el juez todavía lo tiene que considerar.
Overstay | Permanencia más allá del tiempo permitido | Significa quedarse en Estados Unidos más tiempo del que la visa o el permiso autorizaba.
Nonimmigrant | No inmigrante | Es una persona admitida a Estados Unidos por un tiempo limitado y para un propósito específico, como turismo, estudio o trabajo temporal.
